 767 120
0056 2 2
0057 1 1
0059824008555 1 1
0060 2 1
0061 2 1
009 1 1
01 81 37
01.03 1 1
011 7 2
011-15-54724092 1 1
011-1554724092 10 1
011-449-7862 1 1
01103098-20030900456759 1 1
015719750316696878402 1 1
02 311 47
02-11-2010 1 1
02-12-2010 1 1
0200071 1 1
0202 1 1
0221 1 1
0221-423-6701 1 1
02262 1 1
02281-433291 1 1
02293 1 1
02323 2 2
02323-423171 1 1
02323-437709 6 1
02346-424593 3 1
02362 9 2
02362-421433 2 1
02362-421738 2 1
02362-422796 1 1
02362-423022 1 1
02362-423264 1 1
02362-424526 1 1
02362-425521 1 1
02362-426137 1 1
02362-433672 2 1
02362-443301 1 1
02362-443446 1 1
02362-443888 1 1
02362-445912 2 1
02362-447244 2 1
02362-447704 2 1
02362-448000 2 1
02362-636293 1 1
024 1 1
0246 1 1
02477 4 1
0261-4242253 4 1
0261-4248443 4 1
02627-424812 4 1
0264 2 1
0264-4215606 3 1
0264-422-0772 1 1
0264-422-7188 1 1
0264-4222643 12 1
0264-4231056 2 1
0264-4264654 2 1
02652 1 1
0266 2 2
0266-4428501 1 1
0266-4496033 1 1
027 1 1
0293 1 1
02941 1 1
02942-421847 1 1
02954-433092 1 1
02954-435046 1 1
02954-451640 1 1
0298 1 1
0298-4435700 1 1
03 66 22
03-06 1 1
03-10-2011 1 1
03.02 1 1
03.05 1 1
03.11 5 1
03.12 1 1
0314 1 1
0328 1 1
0328-1205 1 1
0335 1 1
034 1 1
0341 9 5
0341-156598244 1 1
0341-435-6510 1 1
0341-472-8665 1 1
0341-480-8523 3 1
0341-4802676 1 1
0343-4222033 1 1
0343-4310189 1 1
03442 16 1
03442-426112 1 1
0345 2 1
0345-4214800 2 1
0345-4215427 3 1
0345-4231415 1 1
03455 1 1
0351-4334028 1 1
0358 6 1
0358-4676204-4676518 1 1
0358-4676431 1 1
0358-4676584 1 1
0363060 1 1
03722-426678 1 1
03722-426691 1 1
03722-452826 1 1
03783-427131 1 1
03783-427589 1 1
0381 1 1
0381-4220696 1 1
04 44 28
04-06-2009 1 1
04-11-2011 1 1
0401 1 1
0402 1 1
0403 1 1
0404 1 1
0405 1 1
0407 1 1
0408 1 1
0411 2 1
0412 2 1
0413 2 1
0418 2 1
0420 2 1
0422 2 1
0423 1 1
0424 1 1
0425 1 1
0426 1 1
0427 2 1
0428 1 1
043 1 1
0430 1 1
0431 1 1
0432 2 1
0433 1 1
0434 2 1
0436 2 1
0437 2 1
0441 2 1
0442 2 1
0450 2 1
0451 1 1
0452 1 1
0454 1 1
0458 2 1
0459 1 1
046 1 1
0470 3 3
048 1 1
0483 1 1
049 1 1
05 46 22
05-04-2011 1 1
05-12-2011 1 1
05.04 2 1
05.07 1 1
050 1 1
054-343-4243054 1 1
054-381-423 2 1
06 83 29
06-05-2009 1 1
06-09-2010 1 1
06.02 2 2
06.07 2 1
06.09 1 1
064 1 1
066 1 1
0660 1 1
0674 2 1
07 302 43
07-09-2011 1 1
07.00 1 1
07.02 3 3
07.04 2 1
07.07 1 1
0709 3 3
071 1 1
076 2 2
0761 1 1
0792966 1 1
08 109 35
08-02-2012 1 1
08-09-2010 2 2
08-09-2011 1 1
08.00 2 1
08.04 4 1
08.07 1 1
080 2 2
0800-333-7344 1 1
0810 2 2
082 1 1
084 1 1
0841922 1 1
0855761 1 1
088 1 1
089 1 1
09 154 42
09-09-2009 1 1
09-10-2009 1 1
09-11-2011 1 1
09.00 3 2
09.02 1 1
09.06 1 1
090 1 1
090118 2 1
092-11 1 1
096 1 1
1 211 76
1,2 2 1
1,2,3 2 2
1,5 2 1
1-2-003-01-2011 1 1
1-2009 2 1
1-2010 1 1
1-9 1 1
1.0 7 5
1.000 1 1
1.069 1 1
1.1 3 1
1.172 1 1
1.2 3 1
1.200 2 2
1.235 1 1
1.3 4 2
1.4 3 2
1.400 1 1
1.471 1 1
1.5 4 3
1.500 6 2
1.6 3 2
1.600 2 2
1.7 2 1
1.718 1 1
1.8 4 3
1.800 1 1
1.820 1 1
1.957 1 1
1.986 1 1
1.996 1 1
1.997 1 1
10 386 72
10,20 1 1
10-06-05 1 1
10-06-2009 1 1
10-1-2012 1 1
10.00 3 1
10.000 1 1
10.02 3 3
10.08 1 1
10.20 1 1
10.273 1 1
10.30 1 1
100 61 24
100,00 2 1
1000 3 3
1000200 1 1
1000245 16 2
1000247 4 2
1000625 7 1
1000626 2 1
1001191567 1 1
1007 1 1
1008 1 1
101 5 2
1010 7 1
1013 2 2
1017 1 1
10192 2 1
102 11 5
1022 2 2
1023 1 1
1024 5 5
1029 5 2
103 10 4
103-135 17 1
1030 1 1
1032 1 1
1033 2 2
1036 1 1
104 8 3
104.1 1 1
104.2 1 1
10413 1 1
1042 3 3
1046 1 1
1048 1 1
1049 1 1
105 9 3
105.254 1 1
1050 3 2
1053 1 1
1055 1 1
1056 7 2
1057 3 1
106 7 3
1060 1 1
1065 1 1
1066 1 1
1067 1 1
1069 1 1
107 20 4
1073 1 1
1075 1 1
1078 1 1
1079 2 2
108 15 4
109 7 4
1090 1 1
1091 1 1
1093 1 1
11 322 76
11,30 1 1
11-03-2011 1 1
11-05-2010 2 1
11-12-11 1 1
11-3-75 1 1
11.00 1 1
11.02 2 2
11.06 1 1
11.30 1 1
11.549 1 1
11.723 4 4
110 10 5
110.000 1 1
1104 1 1
111 5 2
1110.00 2 1
111006 1 1
1111,00 1 1
1111.00 6 1
1115 2 2
1115120 5 1
11151201 5 1
112 7 2
1125 1 1
1129 1 1
113 7 3
1130 1 1
1131 1 1
1134-2011 1 1
1137 2 1
114 5 2
1143 3 2
1145 1 1
1149 1 1
1149362 1 1
115 23 7
1150 1 1
116 10 6
1164 3 2
117 6 4
1176 1 1
1177 1 1
118 12 7
1180 2 1
1181 1 1
1187 1 1
119 7 4
1194 2 1
1195 1 1
1196 1 1
1198 1 1
12 290 64
12,13 1 1
12,30 13 3
12-05-2010 1 1
12-11-2008 1 1
12.00 4 2
12.12 1 1
12.30 5 5
120 35 9
1200 3 3
1207 1 1
1209 1 1
121 8 3
121-142 1 1
1214 1 1
1219 1 1
122 12 4
1223 1 1
1224 1 1
123 7 4
1230 1 1
1231 1 1
1234 1 1
12345 2 1
123456 2 2
12345678910 1 1
1234567891011121314151617181920212223242526272829 7 1
1235 2 2
1239 2 1
124 10 6
1240 1 1
1244 1 1
125 9 6
1253 1 1
1259 1 1
126 4 1
1262 1 1
1266 2 1
127 8 4
1274 1 1
1275 1 1
128 5 3
1280 2 1
1288 1 1
1289 1 1
129 5 3
1292 1 1
1293 1 1
1294 1 1
1296 1 1
1298 2 2
13 258 29
13-1-2012 1 1
13.00 4 3
13.02 1 1
13.12 1 1
13.229 1 1
13.30 3 2
130 7 4
1300 1 1
131 10 5
131000 1 1
1313 1 1
13141516171819 2 1
1316 1 1
132 5 2
13298 2 1
133 7 4
1335 2 1
1338 3 1
134 8 4
1344 1 1
135 5 2
1352 1 1
1359 1 1
136 4 2
1362 1 1
137 5 2
138 5 2
1385 1 1
1386 1 1
139 5 3
1399 1 1
14 97 41
14,30 1 1
14-10-2011 2 1
14-16 1 1
14-6 1 1
14.00 3 1
14.03 2 1
14.04 1 1
14.30 2 2
14.855 3 1
140 4 1
1400 3 3
14000020 1 1
14000041 2 1
14040 1 1
141 6 2
1413 3 1
142 7 4
1420 1 1
1426371 1 1
143 4 1
1439 1 1
144 7 4
1440 1 1
1442 1 1
1445 1 1
1449 1 1
145 10 6
1454 1 1
1456 1 1
146 7 2
1460 1 1
1462 2 2
1468 1 1
147 7 4
1471 1 1
148 6 3
149 5 2
1499 1 1
15 82 33
15,9 1 1
15-02-2012 2 2
15-12-2009 1 1
15-12-2011 1 1
15-6 1 1
15.00 5 3
15.30 2 2
150 17 9
150,000 1 1
1500 21 11
151 5 3
1515 1 1
152 6 3
153 7 4
1531 2 2
154 6 2
1545 1 1
154652624 1 1
1549 2 1
1549456561 1 1
155 7 3
15508661 1 1
1551 1 1
15522685 1 1
15522853 1 1
15562757 2 1
15597 1 1
156 4 1
157 8 4
1570 1 1
1572 1 1
158 4 1
1586 1 1
159 8 4
1590 1 1
1592 1 1
1595 1 1
1596 4 1
1597 1 1
16 90 33
16-06-2011 1 1
16-09-2008 1 1
16-09-2011 1 1
16-27 1 1
16-6 3 1
16.00 14 3
16.06 1 1
16.10 1 1
16.30 2 2
160 7 4
1601 1 1
161 3 1
1610 1 1
1614 1 1
1615 1 1
162 4 1
1621 1 1
1622 1 1
1623 1 1
163 6 3
1636 1 1
1639 1 1
164 4 1
1644 2 1
1646 1 1
165 6 3
1650 9 8
166 5 2
1661 1 1
1663 2 1
1666-1508 1 1
1668-7515 1 1
167 5 2
168 8 5
1686 1 1
169 6 3
1690 1 1
1694 1 1
1695 1 1
1698 1 1
17 45 25
17,00 11 1
17-6 2 1
17.00 5 3
17.05 1 1
17.11 2 1
170 9 3
1700 1 1
1703 1 1
1704 1 1
171 5 2
1710 11 3
172 3 1
1728 1 1
1729 1 1
173 7 3
1730 1 1
1732 1 1
1733 2 1
1739 1 1
174 4 1
1740 1 1
1741 1 1
1742 1 1
175 7 3
1754 5 5
176 4 1
1762 1 1
1767 1 1
17672 1 1
1769 1 1
177 3 2
1772 1 1
1773 1 1
1776 1 1
178 2 1
179 2 1
1791 1 1
1792 1 1
1794 2 1
18 62 30
18,30 1 1
18.00 3 3
18.000 1 1
18.30 2 2
18.45 1 1
18.761 1 1
180 6 5
1800 2 1
1801 1 1
1802 1 1
181 3 2
1810-1820 1 1
1814 1 1
182 2 1
1821 1 1
1826 1 1
1827 2 1
183 3 2
1832 1 1
184 5 4
1843 1 1
1844 1 1
1845 1 1
1846 1 1
185 2 1
1850 1 1
1850-1362 2 2
1851-9237 38 1
1852-0499 1 1
1852-1568 4 1
1854 1 1
1859 1 1
1859-008 1 1
186 5 4
1865 1 1
1869 3 3
187 1 1
1870-1930 2 1
1871 1 1
1874 2 2
1876 3 3
1878 1 1
1879 1 1
188 2 1
1880 1 1
1884 1 1
1885 2 2
1888 1 1
1889 1 1
189 2 1
1890 1 1
1891 2 2
1892 1 1
1893 1 1
18931 1 1
1894 1 1
1895 3 1
1897 4 2
1899 1 1
19 51 28
19-08-2011 1 1
19-09-2011 1 1
19-12-2008 1 1
19-3-69 1 1
19.00 15 6
19.084 1 1
19.117 3 3
19.12 1 1
19.20 1 1
19.30 6 4
190 3 2
1900 27 17
19000 4 2
1902 1 1
1903 7 7
1904 2 2
1905 1 1
1906 3 1
1907 1 1
1908 9 3
1909 1 1
191 3 2
1910 6 3
1910-2010 1 1
1912 6 4
1913 2 2
1914 6 3
1915 2 2
1917 2 1
1918 16 2
1918-1966 1 1
1919 1 1
192 3 2
192.168 2 1
1920 2 1
1920-1924 1 1
1921 1 1
1922 1 1
1924 1 1
1925-2011 1 1
1926-1930 1 1
193 5 2
1930 1 1
1934 1 1
1935-1939 1 1
1938 1 1
1939 1 1
194 1 1
1940 1 1
1941 2 1
1941-1945 1 1
1944 1 1
1945 1 1
1948 8 3
195 1 1
1950-1954 1 1
1952 2 1
1953 1 1
1954 2 2
1955 1 1
1956 2 2
1956-1960 1 1
1957 5 2
1958 1 1
1959 6 3
196 3 2
1960 1 1
1962 1 1
1964 5 5
1964-2012 2 1
1965 2 1
1965-1969 1 1
1965-1975 1 1
1966 1 1
1967 2 2
1968 2 2
1969 3 3
197 4 3
1970 9 3
1971 7 7
1971-1975 1 1
1972 9 8
1973 10 5
1974 3 3
1975 9 5
1976 11 6
1977 10 7
1978 8 5
1979 4 4
198 4 3
1980 8 8
1980-1984 1 1
19807 1 1
1981 2 1
1982 2 2
1983 5 5
1983-1989 1 1
198315 1 1
1984 11 7
1985 7 5
1986 9 6
1986-1990 1 1
1987 6 6
1988 3 2
1989 13 11
199 2 1
1990 30 7
1990-2010 1 1
1991 18 12
19913 1 1
1992 7 6
1993 12 11
1994 14 10
1994-1997 1 1
1994-2004 1 1
1995 31 12
1996 29 20
1996-2007 11 2
1997 22 10
1998 15 9
1998-2000 1 1
1999 15 11
1999-2000 1 1
1999-2002 1 1
1999-2008 1 1
1999-2009 2 1
1999-2010 1 1
1999-2011 8 1
2 192 70
2,50 1 1
2-13 1 1
2-2-2012 1 1
2-2009 1 1
2-2010 1 1
2-2012 2 1
2.0 27 14
2.000 2 2
2.001 1 1
2.004 1 1
2.008 1 1
2.011 1 1
2.012 1 1
2.1 4 2
2.10 1 1
2.11 1 1
2.12 1 1
2.2 10 4
2.243 1 1
2.3 5 2
2.300 1 1
2.357 1 1
2.4 4 2
2.5 4 2
2.500 2 1
2.6 2 1
2.643 1 1
2.7 10 3
2.8 3 1
2.800 1 1
2.9 7 3
20 68 32
20,30 1 1
20-12-2011 1 1
20-24 2 1
20-3-04 1 1
20.00 2 1
20.000 1 1
20.30 3 2
20.366 1 1
20.367 1 1
200 21 14
2000 50 22
2000-2010 1 1
2001 37 18
2001-2008 3 1
2001-2010 3 1
2002 45 20
2002-2007 2 1
2002-2009 2 2
2002-2012 8 6
2003 60 29
2003-2010 1 1
2003-2011 5 1
20031 1 1
2004 53 21
2004-2008 2 1
2005 65 32
2005-2006-2007-2008-2009-2010 2 1
2005-2009 1 1
2005-2009-2013 1 1
2005-2011 2 1
2006 77 35
2007 86 50
2007-03-2248 2 1
2007-08-0948 2 1
2007-09-2636 2 1
2007-11-2042 2 1
2007-11-2048 2 1
2007-11-2060 2 1
2007-12-1936 2 1
2008 196 46
2008-03-0736 2 1
2008-08-1236 2 1
2008-08-2136 6 1
2008-09-2424 2 1
2008-09-2436 6 1
2008-11-1148 2 1
2008-2009 2 1
2009 218 61
2009-03-1936 2 1
2009-04-2736 2 1
2009-04-2748 2 1
2009-05-1830 2 1
2009-05-1836 4 1
2009-05-1854 2 1
2009-08-0430 4 1
2009-08-0436 2 1
2009-08-0448 2 1
2009-10-1418 2 1
2009-10-1436 4 1
2009-12-1412 2 1
2009-12-1418 6 1
2009-12-1424 4 1
2009-12-1436 8 1
2009-2010 1 1
201 3 2
2010 376 87
2010-01-2236 2 1
2010-07-01 1 1
2010-08-1918 2 1
2010-08-1924 2 1
2010-08-1930 2 1
2010-08-1948 2 1
2010-10-0636 2 1
2010-11-2318 8 1
2010-11-2324 4 1
2010-11-2330 6 1
2010-11-2336 2 1
2010-12-1536 2 1
2010-2011 7 4
2010-2012 1 1
201018 1 1
20102010 4 1
20102011-08-29 1 1
201035118 1 1
201035310 1 1
20104 1 1
2011 954 149
2011-02-25 2 1
2011-03-3012 2 1
2011-03-3018 2 1
2011-03-3036 2 1
2011-04-29 2 1
2011-05-17 2 1
2011-05-31 2 1
2011-06-01 1 1
2011-06-17 2 1
2011-06-2812 2 1
2011-06-2818 4 1
2011-06-2824 4 1
2011-06-2836 2 1
2011-08-2318 6 1
2011-08-2324 2 1
2011-08-2336 4 1
2011-08-29 2 1
2011-09-12 1 1
2011-10-04 1 1
2011-10-0518 6 1
2011-11-03 2 1
2011-11-0312 2 1
2011-11-0318 4 1
2011-11-0330 2 1
2011-11-0333 2 1
2011-11-0336 2 1
2011-12-0624 2 1
2011-12-0636 2 1
2011-12-12 1 1
2011-12-14 1 1
2011-2012 11 3
2011-2015 1 1
2011.2011 1 1
20111 1 1
201111.00 1 1
201116 1 1
201118 1 1
2012 1118 162
2012-01-04 1 1
2012-2013 2 1
201201 1 1
20121 1 1
201214 1 1
2013 12 5
2014 16 1
2015 21 1
2016 19 1
2017 1 1
202 4 3
2020 1 1
20212223242526 2 1
203 2 1
2030 1 1
2035 12 1
204 6 4
2047 1 1
205 5 3
2050 1 1
2054 1 1
2059 2 2
206 2 1
2060 1 1
207 5 2
2074 1 1
208 3 2
2082 1 1
2084 1 1
20889 1 1
209 4 3
2097 1 1
21 101 25
21,30 1 1
21-06-2011 2 1
21-07-2010 1 1
21-23 1 1
21.00 3 1
210 4 2
211 3 2
2111 1 1
2113 1 1
212 1 1
2120 1 1
213 5 3
2131 2 2
214 6 5
215 7 6
216 4 2
217 2 2
2177 7 1
218 2 1
2180 1 1
219 7 4
22 61 31
22-02-2012 1 1
22-06-2010 1 1
22-11-2011 1 1
22.02 1 1
220 11 6
2200 1 1
2202 1 1
2204 1 1
221 14 5
2213 1 1
222 3 2
222-287 1 1
223 28 7
2232 1 1
2233 1 1
224 3 2
225 4 3
2254 2 1
2255 2 1
2256 1 1
226 2 1
227 3 2
2273 1 1
228 1 1
2287 1 1
229 4 3
2290 1 1
2291 1 1
2293 8 4
2293439650 1 1
2293439660 1 1
2293439669 1 1
2293439670 1 1
2293439679 1 1
2293439688 2 1
23 40 23
23-09-2011 1 1
23-11-10 1 1
23-11-2009 1 1
23-24 2 1
23-4-74 1 1
23.02 1 1
23.068 1 1
230 4 3
2300 2 1
23000001 1 1
23000002 7 1
23000003 2 1
2304 7 1
23044 1 1
2306 2 1
2307 1 1
231 6 5
2310 1 1
232 1 1
2325 2 2
233 2 1
234 2 1
235 4 2
2357-09 1 1
236 3 2
2363 2 1
2364 1 1
2368 1 1
237 3 3
2374 1 1
238 5 4
2387 2 1
239 3 2
2398 1 1
24 40 20
24-08-2010 2 1
24-11-2011 1 1
24-26 1 1
24.09 1 1
24.240 2 1
24.496 1 1
24.521 2 2
240 2 1
241 2 1
2410 2 1
2415 1 1
242 3 2
243 5 4
2430 1 1
2432 1 1
2439 2 1
244 2 1
2446 1 1
2447 1 1
245 2 2
2451 1 1
24521 1 1
246 2 1
2463 1 1
2464 1 1
247 4 3
2477 1 1
2479 2 1
248 3 2
2488 1 1
249 3 2
2491 1 1
25 27 15
25-09-2010 1 1
25-10-2010 1 1
25-2011 3 1
25.000 5 1
25.03 2 1
25.10 1 1
25.326 1 1
25.459 1 1
25.824 1 1
250 28 8
251 1 1
2512 1 1
252 2 1
252.0 1 1
253 1 1
254 3 2
2549 1 1
255 4 3
255.255 1 1
2552 1 1
2553 1 1
256 2 1
257 2 1
258 2 1
2585 1 1
2587 1 1
259 5 3
26 21 15
26-04-2011 1 1
26-1-2012 1 1
26-10-2009 1 1
26-11-2010 1 1
26.000 2 2
26.10 1 1
26.653 3 1
260 2 1
2606 1 1
261 3 2
2613 1 1
2615 1 1
2617 1 1
262 2 1
2629 1 1
263 4 3
2630 1 1
264 7 5
2649 1 1
265 2 1
2652 2 1
2656 2 1
2657 2 1
2659 2 1
266 3 2
267 2 1
268 3 2
268,50 1 1
2681 1 1
2683 1 1
269 3 2
2695 11 3
27 38 19
27-12-2011 1 1
27.05 1 1
27.10 1 1
270 4 3
27002 1 1
2702 2 1
271 2 1
2711 4 1
272 4 3
272-8 2 1
272829 2 1
273 2 1
274 1 1
2747 1 1
275 5 3
276 2 1
2764 2 1
277 1 1
2772 4 1
278 1 1
2789 1 1
279 6 3
2797 1 1
28 23 14
28-05-2010 1 1
28-09-2010 1 1
28-1-2012 1 1
28.09 2 1
28.10 1 1
280 3 2
2804 2 1
28040 1 1
2806 1 1
281 11 7
2811 1 1
2812 1 1
282 2 1
2827 1 1
2828 1 1
2829 1 1
283 3 2
2830 1 1
2838 1 1
284 1 1
285 3 2
286 2 1
2864784 1 1
287 4 3
2873 1 1
288 2 1
289 3 2
29 33 21
29-08-2011 1 1
29-10-2008 1 1
29-12-2011 2 1
29.09 1 1
29.10 1 1
29.11 1 1
290 4 3
291 4 3
292 3 2
2920 1 1
2924 1 1
2925 1 1
293 2 1
2933 1 1
294 2 1
2940 1 1
295 2 1
2955 1 1
2958 1 1
296 3 2
2967 1 1
297 2 1
298 2 1
299 3 2
299-85 1 1
2991 1 1
2993 1 1
3 137 58
3-2008 3 1
3-2009 1 1
3-28 1 1
3-6 1 1
3.0 17 8
3.055 1 1
3.1 4 2
3.100 1 1
3.13 1 1
3.14 1 1
3.15 1 1
3.16 2 2
3.17 1 1
3.18 1 1
3.19 1 1
3.2 2 2
3.40 1 1
3.6 3 1
3.724 1 1
3.800 3 2
3.9 5 2
30 118 40
30-05-2009 1 1
30-07-2008 1 1
30-08-2010 1 1
30-09-2009 1 1
30-70836855-1 1 1
30.000 2 1
30.10 4 1
300 19 15
3000 2 2
3004 1 1
301 2 1
3014 2 1
3018 1 1
302 3 2
303 2 2
3033 1 1
304 3 2
305 6 3
3053 1 1
306 4 3
3068 4 1
307 2 2
308 2 1
3084 1 1
309 4 3
30900456 1 1
31 14 7
31.01 1 1
31.05 2 2
31.10 1 1
310 4 3
3100 6 4
31072 1 1
311 2 1
312 6 3
3128 1 1
313 3 2
314 3 2
314.42 1 1
3141 1 1
3144165 1 1
315 2 1
3159 1 1
3159300 1 1
316 4 2
3168 1 1
317 2 1
3177 1 1
318 3 2
3181717 1 1
319 3 2
32 6 6
320 3 2
321 3 2
3215 1 1
322 3 2
323 5 3
324 3 2
325 3 3
3250 1 1
326 3 2
327 6 3
3271 1 1
328 2 1
3283 1 1
3286 1 1
329 2 1
3291 1 1
33 5 4
330 6 3
3301 1 1
331 3 2
331160092 1 1
332 3 2
333 6 3
3336 1 1
334 6 5
335 4 3
3350 4 2
336 3 2
336600 1 1
337 3 2
338 2 1
339 3 2
34 4 3
340 5 4
3400 3 2
341 21 6
3413 1 1
342 6 5
343 4 3
343-09-1 1 1
344 7 4
345 2 1
3456 1 1
346 2 1
3460 1 1
3469 1 1
347 3 2
3470 1 1
348 2 2
349 2 2
35 6 2
35-39 2 1
350 2 1
3500 1 1
3501 1 1
351 14 4
352 4 3
353 10 4
353.36 1 1
353.48 1 1
354 2 1
355 6 4
356 3 2
3562 1 1
3563 2 1
357 2 2
3577 1 1
358 1 1
359 2 1
36 15 6
36.407 2 2
360 4 3
3600 1 1
361 1 1
362 2 1
362-4420088 2 1
362-4425573 2 1
3623 1 1
363 2 1
364 2 2
36405 1 1
365 3 2
3650 1 1
366 2 1
367 2 1
3676448 1 1
368 3 2
368.33 1 1
369 3 2
3697 1 1
37 5 4
37-53 1 1
370 2 1
371 4 2
372 2 2
3722-420088 2 1
3722-425573 2 1
3725 7 1
3727 2 1
373 2 1
374 3 3
375 4 2
3759 1 1
376 2 1
377 2 1
378 2 1
3783 7 2
379 2 1
38 6 4
380 5 4
381 8 6
382 6 5
3820 1 1
383 4 3
384 4 3
385 3 2
3858 1 1
386 3 3
387 5 4
3873 1 1
388 3 2
389 2 1
3891 2 1
39 9 4
39.801 1 1
390 2 1
3901 1 1
391 2 1
392 1 1
393 1 1
394 2 1
3943 1 1
395 3 2
396 2 2
3962 2 2
397 2 1
398 2 1
399 1 1
39918704 1 1
39918784 1 1
3992 1 1
3997000 2 2
4 128 45
4,60 2 1
4.0 5 5
4.000 1 1
4.01 3 2
4.1 3 2
4.2 4 2
4.200 2 1
4.305 1 1
4.376 1 1
4.400 1 1
4.50 1 1
4.600 2 1
4.7 2 1
40 19 7
400 11 8
4000 8 5
40018969 1 1
4005424 2 1
4006 8 7
4006-1500 1 1
4006-1512 2 1
4009 1 1
401 2 2
40176607 1 1
402 2 1
40288631 1 1
40288637 1 1
40288656 1 1
40288665 1 1
40289712 1 1
403 3 2
40345216 1 1
40379171 1 1
404 3 3
40424341 1 1
40424418 1 1
4043 1 1
40476322 1 1
40489987 1 1
405 2 1
40537229 1 1
40537230 1 1
40537231 1 1
40544580 1 1
40551750 1 1
40568640 1 1
40568784 1 1
40568785 1 1
40568818 1 1
40568853 1 1
40568896 1 1
40570675 1 1
40570718 1 1
40581208 1 1
40581627 1 1
40581629 1 1
40581698 1 1
40581777 1 1
40581782 1 1
406 4 2
40615648 1 1
40624542 1 1
40624604 1 1
40624617 1 1
40624691 1 1
40624700 1 1
40641275 1 1
40651629 1 1
40651695 1 1
40651751 1 1
40651753 1 1
40651757 1 1
40651762 1 1
40651813 1 1
40651840 1 1
40651876 1 1
40653449 1 1
40663066 1 1
40663069 1 1
40666803 1 1
40666823 1 1
40666828 1 1
40666901 1 1
40666945 1 1
40672113 1 1
40672116 1 1
40672158 1 1
407 2 1
407.76 1 1
40706093 1 1
40714209 1 1
40714267 1 1
40714282 1 1
40714342 1 1
40714347 1 1
40717542 1 1
40717712 1 1
40717729 1 1
40718683 1 1
40720403 1 1
40720404 1 1
40756181 1 1
40759848 1 1
40768570 1 1
40768654 1 1
40768694 1 1
40795086 1 1
408 2 1
40811117 1 1
40811375 1 1
40811432 1 1
40811456 1 1
40851904 1 1
40851911 1 1
40851959 1 1
40851977 1 1
40852040 1 1
40852095 1 1
40852097 1 1
40855027 1 1
40855083 1 1
40895404 1 1
40895465 1 1
40895530 1 1
40895578 1 1
40895637 1 1
409 1 1
40913118 1 1
40913168 1 1
40913196 1 1
40914558 1 1
40914577 1 1
40914589 1 1
40915934 1 1
40930813 1 1
40930877 1 1
40930904 1 1
40944405 1 1
40944440 1 1
40944457 1 1
40944460 1 1
40944464 1 1
40944481 1 1
40944493 1 1
40944581 1 1
40944591 1 1
40976637 1 1
40976696 1 1
40976786 1 1
40998535 1 1
40998537 1 1
40998551 1 1
40998559 1 1
40998591 1 1
40998607 1 1
40998663 1 1
40998698 1 1
40999881 1 1
41 6 4
410 2 1
41003043 1 1
41006048 1 1
41006052 1 1
41006122 1 1
41006128 1 1
41006169 1 1
41024803 1 1
41024822 1 1
41066917 1 1
41067005 1 1
41067082 1 1
41067986 1 1
41076109 1 1
41076156 1 1
41076179 1 1
41076254 1 1
41076284 1 1
411 2 2
41128961 1 1
41130646 1 1
41130863 1 1
41134121 1 1
41140069 1 1
41140113 1 1
41140116 1 1
41140126 1 1
41140144 1 1
41140158 1 1
41140210 1 1
